name,email,score,approved
Leuschke,stefania@hoeger.info,636,0
Funk,herb@heidenreich-schowalter.name,638,1
Anderson,davis@schultz.com,778,0
Bartoletti,yong@parker.com,333,0
Satterfield,pamela.larson@oconner.org,357,0
Gleichner,milo@adams.info,698,1
Dooley,sammy_friesen@kunze.org,536,1
Willms,hobert.welch@balistreri-carter.name,355,0
Torphy,russell.koepp@koelpin.info,584,0
Armstrong,adena@bode.net,410,0
Oberbrunner,rashad@greenholt.io,637,0
Abshire,percy@johnson-johns.name,728,1
Goodwin,cierra_witting@welch.name,702,1
Schmeler,miguelina@fisher-corkery.com,761,1
Spencer,lucas@johnston-ward.co,409,0
Moore,hong@kreiger-toy.io,329,0
Kutch,waylon@halvorson-kling.com,487,0
Kihn,bettina_cassin@schulist-dicki.co,522,1
Turner,willena_kirlin@connelly.org,660,0
Bechtelar,monty.halvorson@mayert.net,717,1
Medhurst,rogelio@luettgen.net,354,0
Schuppe,jan@ledner-lind.net,637,0
Morissette,hector@bayer.biz,562,0
Schuster,cuc.keebler@braun-johnston.co,661,0
Connelly,milan.renner@langosh.net,692,0
Stoltenberg,nery_beatty@carter-bogan.info,825,1
Leuschke,ian.bosco@huel.org,795,0
Casper,walton_buckridge@barton.net,411,0
Veum,annis.russel@schinner-wintheiser.com,445,0
Zboncak,verdell@walker.io,811,1
Cronin,marquis@bashirian.co,741,0
Lesch,broderick@mcdermott.biz,366,0
O'Reilly,gilberto@bartell.name,415,0
Cronin,bennett.ortiz@parisian-cormier.biz,633,1
O'Reilly,lester@willms.name,508,1
Kunze,everette@bauch.biz,760,0
Doyle,ira_rau@funk-yost.org,624,1
Schneider,elias@jacobson-stanton.com,807,1
Stanton,candance@little-prosacco.net,671,1
Lemke,malcom_ebert@willms.org,649,1
Pfeffer,mayme_cummings@kautzer.co,803,0
Wyman,gilbert_conn@lindgren-will.org,625,0
Littel,kim@spencer.io,641,1
Hilll,sterling_glover@renner-osinski.co,340,0
Goodwin,shawna_swift@greenfelder.net,444,0
Skiles,porfirio_barton@rath.net,470,0
Mitchell,ulysses@simonis-ullrich.biz,436,0
Schamberger,willie@pollich.co,628,1
Carter,rebekah@weber.org,716,1
Cartwright,hulda.kris@nader.io,592,1
Lakin,anitra.wolf@fadel-nader.net,383,0
Lakin,rheba@runte.co,796,0
Luettgen,kaitlin_senger@rowe.name,694,0
Flatley,joel@auer.io,812,1
Wuckert,vernita_metz@dicki-koch.com,649,1
Okuneva,lakenya_greenholt@lakin.info,705,1
Hilpert,krystal_stark@parisian.org,587,1
Collins,lakeisha@kreiger-reinger.com,557,1
Bednar,jules.reynolds@kiehn.com,452,0
MacGyver,king@bahringer-greenfelder.biz,523,1
Feeney,tod.kutch@crist-gulgowski.org,569,1
Lehner,matt.lang@lesch.com,472,0
Bogisich,lahoma@lynch-watsica.com,732,0
Murray,erlene@franecki.name,825,1
Murray,lauren@schoen.info,709,1
Leffler,tyree.fahey@murphy.biz,639,1
Treutel,september.hamill@wuckert.org,507,1
Conn,latisha.stroman@howe.co,801,1
Batz,cliff@johns.com,559,1
Nicolas,elane@ortiz-cole.io,309,0
MacGyver,merry_damore@zulauf.name,640,1
Leffler,juliana.heathcote@leffler-cummings.name,303,0
Hagenes,joey@dooley.net,676,0
Glover,merlyn@schneider-turner.net,673,1
Hartmann,lamont@stehr-kemmer.name,584,1
Trantow,allegra@hoeger-wiegand.co,381,0
Breitenberg,carey_nienow@lakin.net,685,0
Roberts,nicolas@west.biz,691,1
Dickinson,rhoda@schroeder.org,525,1
Gulgowski,garret@stamm.name,731,1
Hamill,rossana_denesik@quigley.net,704,1
Simonis,salome.oberbrunner@dach.org,502,0
Barrows,tom_schimmel@prohaska-schultz.io,818,1
McKenzie,elda_breitenberg@lowe.com,579,0
Wilkinson,huey@ortiz.info,604,1
Kessler,everett@goodwin.co,613,1
Flatley,michel@kuphal.org,643,1
Brekke,alva@oconner.net,655,1
Marvin,cara@kohler-rolfson.net,793,0
Dare,chauncey_langworth@kirlin-kuhn.net,330,0
Ebert,abe.hartmann@swift.name,533,0
Mante,silvia@berge-bashirian.info,832,1
Kautzer,dario.carter@kunze.org,579,1
Leannon,ronni_turcotte@kling.info,773,1
Hintz,lavern_lind@emmerich.biz,716,1
Graham,essie.oconner@schoen.com,684,1
Cruickshank,margret.thiel@cummings-white.name,577,0
Stoltenberg,francis_nicolas@terry.name,588,1
Wolf,cleo_stracke@wuckert.info,775,1
Sanford,duncan_beatty@jacobi.biz,573,1
Krajcik,mao@windler-thompson.io,568,1
Auer,kristopher@howell.name,510,0
Howell,angelica@schulist.org,559,1
Champlin,angelena@skiles.net,627,0
Crooks,jeffrey@keebler.org,733,1
O'Keefe,nelida@barrows.com,765,0
Romaguera,chad@roob.co,696,0
DuBuque,philip@osinski-keeling.biz,710,0
Lynch,donnie@breitenberg.biz,783,0
Walker,jaime@paucek-krajcik.io,514,0
Schowalter,logan_kuhlman@morissette-yundt.io,640,0
Kris,stormy_schimmel@goodwin.co,420,0
Bednar,ernie@miller.net,732,1
Roberts,yadira@schamberger-lubowitz.io,588,1
Kiehn,ryann@nitzsche.name,835,1
Strosin,marquita@davis-nader.net,784,0
Rogahn,serafina.huel@stiedemann-mclaughlin.info,389,0
Braun,nia.torphy@zboncak.io,589,0
Kohler,marlon.rodriguez@johnson-konopelski.com,585,0
Mills,barton_hoppe@goldner.io,662,0
Price,lakiesha@ruecker-monahan.co,561,0
Von,elvin@langosh-mitchell.info,499,1
Kuhlman,bettie_pfannerstill@davis.info,677,1
Herzog,otha_kovacek@rippin.net,735,0
Gottlieb,tiffiny.mcclure@krajcik.com,527,1
Simonis,wendolyn@lynch.name,509,1
Hyatt,iesha.oconner@mann.info,459,0
Mante,trevor@kiehn.io,635,0
Will,meri_batz@schmeler-koepp.org,535,1
Kessler,ellan_schowalter@abbott.name,655,0
Ullrich,laronda_graham@greenholt.com,540,1
McGlynn,anabel@zulauf.biz,469,0
Grady,darnell@hansen.co,718,1
Buckridge,john_nicolas@hayes-robel.com,339,0
Rohan,everett@goldner.org,572,1
Weissnat,miquel.bogisich@champlin.co,760,1
Klein,israel.hansen@heidenreich-medhurst.biz,458,0
Gutkowski,reena@mcclure.co,629,0
Schultz,sandy@wisoky-flatley.org,723,0
Flatley,corie.ondricka@stanton.io,802,1
Bayer,rosanna@bergnaum.name,729,1
Shanahan,bo.raynor@mohr.info,558,0
Boyle,wilburn_hodkiewicz@reichel-weber.org,772,0
Feeney,leif_jenkins@shanahan.name,598,0
Deckow,leland.flatley@will.org,611,1
Krajcik,paulita@metz.org,532,0
Hoppe,marlyn.hamill@bergnaum.io,515,1
Jaskolski,esteban@daniel.net,814,1
Cole,shavonne.lockman@schmidt.info,650,0
Bruen,sherryl.lockman@barton.co,604,0
Heidenreich,cole@zulauf-herzog.net,574,0
Dach,brain@west.net,631,0
Bins,doreatha@marquardt.biz,810,0
Harvey,john_waters@turcotte-rippin.io,663,0
Rolfson,graham_koepp@ratke-pollich.com,508,0
DuBuque,fausto.bednar@hirthe-lowe.org,661,0
Roberts,joe.reilly@walter.net,604,1
Douglas,berry_dare@larson.biz,802,1
O'Kon,seema@kunde.co,781,1
Quigley,sook_fay@bogan.com,810,0
Mohr,deedee@klein.name,815,1
Hansen,cyndi.mayer@waters-beier.info,707,1
Bradtke,ardell@gusikowski.com,641,0
Kiehn,gene.renner@rogahn.net,790,1
Beier,marco_farrell@weimann-rohan.net,774,0
Bergnaum,venetta_kiehn@daugherty.net,637,0
Blick,kristian.goodwin@douglas.net,584,1
Gerhold,margart@jakubowski.net,725,1
Paucek,luis@hansen.name,669,0
Lehner,sarai@luettgen-zulauf.name,660,1
Gusikowski,ernesto_dicki@wyman.net,304,0
Gutkowski,carolee.pfannerstill@watsica-boyle.io,516,0
Gottlieb,rosario@conroy-hauck.co,550,1
Bradtke,epifania@zemlak-fahey.co,671,1
Rogahn,cody@kuhlman.info,754,0
Rolfson,ina_swift@will.com,656,1
Nienow,janee@oreilly.biz,766,0
Schoen,sol@fisher.name,751,0
Stanton,jena.yost@keebler.org,722,1
Kulas,kenia.russel@hackett.net,740,0
Schinner,chong@bechtelar.name,710,0
Doyle,gary.hane@schinner-ernser.com,513,1
Okuneva,marian@daugherty.io,632,1
Brakus,terrance.rolfson@grady.name,821,1
Leuschke,elroy.prosacco@cruickshank.org,629,1
Heller,kandra_crona@jacobi-daniel.name,529,1
Hartmann,moshe@littel.co,797,1
Muller,garland.roberts@bernhard.biz,615,1
Lynch,hermine@haley.io,734,0
Hansen,markita@mohr-fisher.biz,803,1
O'Connell,rebecca@aufderhar.info,305,0
Botsford,reggie@ferry.net,341,0
Roberts,otto_gislason@king.name,787,1
Hahn,charles@stehr-kozey.io,801,1
Purdy,anisa@johns.name,788,1
Schinner,delores_brown@metz.co,749,1
Champlin,oscar@nolan.name,596,1
Volkman,columbus.walter@skiles.io,745,1
Price,kris@beahan.info,407,0
Yundt,zachary_pfannerstill@yost-parisian.io,574,1
Streich,bernadette@kilback.co,598,0
Ratke,lizzette_kihn@cremin.info,548,1
Considine,gabrielle@cremin.org,527,1
Runolfsson,preston_lind@abshire-predovic.name,662,1
Wisoky,mark.bosco@ward.com,417,0
Feil,garfield@toy.org,659,0
O'Connell,sydney_dietrich@jacobi.co,593,1
Lueilwitz,kyle@adams-skiles.org,605,0
Waters,shanita@zieme-lemke.co,718,1
Wuckert,erik@weissnat-stokes.net,444,0
Bechtelar,sam@mraz.co,830,1
Hammes,ranee@gorczany.name,387,0
Huel,moses@borer.com,578,1
Dach,cesar.johnson@krajcik.org,753,0
Lehner,mammie@grant-rodriguez.name,460,0
Mitchell,eugene@bauch.net,718,0
Bode,fredia@bartoletti-hermiston.co,551,0
Gleason,tomiko@shanahan.info,398,0
Carter,louie.watsica@jones.biz,751,1
Lynch,alecia@orn.org,791,0
Waters,doug_gottlieb@paucek-dickens.net,713,0
Hansen,juan@sanford.com,695,1
Klocko,lacy@terry.io,635,0
Heaney,keitha@harris-welch.biz,366,0
McLaughlin,scott_king@sporer.com,556,0
Dickens,fermina.dubuque@veum.info,725,1
Renner,aliza@marvin.io,451,0
Paucek,tegan@cole.biz,607,0
Kiehn,lyla@glover.com,798,1
Towne,elaine.ebert@rosenbaum.io,697,1
Tremblay,mahalia_schuppe@mcdermott.co,358,0
Oberbrunner,krista.hand@howell-doyle.io,635,0
Carter,gisele.corkery@ullrich-mayer.biz,697,1
O'Keefe,una@daugherty.org,585,1
Nienow,celena.thiel@sporer-feil.co,433,0
Hamill,roxy_witting@krajcik-lang.com,623,0
Cremin,tennille@terry.net,687,1
Thiel,rolande.bradtke@herman-kautzer.biz,578,0
Jaskolski,aron.nitzsche@dicki.name,628,1
Cole,ted@rodriguez-price.co,794,0
Ernser,carolyne_nitzsche@schmeler.org,718,1
West,clayton.jakubowski@bednar.biz,776,1
Kunde,elly@ledner.net,605,1
Goyette,zachariah@johns-mraz.name,666,0
Stamm,felisha@west.name,818,1
Graham,rodney@hirthe.co,624,1
Dietrich,benton_mclaughlin@carroll.com,434,0
Donnelly,lupe@deckow.info,522,0
Maggio,ray.reynolds@reynolds.org,582,0
Greenfelder,marylyn@weissnat-rohan.info,560,1
Lynch,dotty@lubowitz.info,444,0
Roob,jacqueline.lesch@schuppe.biz,692,0
Mitchell,ai@gleichner.org,718,0
O'Hara,rogelio@hoppe.biz,442,0
Morar,gus@weimann-powlowski.info,513,0
Hahn,love@toy-doyle.info,509,1
Parker,queenie_daugherty@daniel.info,579,1
Bogisich,dagny@okon.org,352,0
Prosacco,cristal_koelpin@schumm.com,582,1
Purdy,constance@stracke-cremin.info,578,1
Will,renda_wisozk@satterfield.net,493,0
Fay,javier.erdman@hirthe-rowe.name,594,1
Hane,margart.keebler@crist.io,313,0
Runte,tyron.conn@dooley-stanton.com,815,1
Kulas,ray@conn.co,324,0
Harber,roberto_jakubowski@deckow.io,698,1
Schinner,marisol@fahey.io,399,0
Streich,sari@torphy.org,602,0
Streich,kemberly.mueller@cormier.co,789,1
Larkin,man.legros@boehm.name,555,1
Wyman,murray.hayes@donnelly.info,507,1
